stat,minutes_bucket,pred_bucket,n,mean_pred,mean_actual,mae,bias,rmse,beat_projection_rate,beat_baseline_rate
reb,37+,13+,3,12.880280716652743,17.666666666666668,6.626371619967844,4.786385950013922,9.07832144041133,0.6666666666666666,0.3333333333333333
reb,37+,16-20,0,,,,,,,
reb,37+,2,0,,,,,,,
reb,37+,21-25,0,,,,,,,
reb,37+,26-30,0,,,,,,,
reb,37+,3,0,,,,,,,
reb,37+,3-4,0,,,,,,,
reb,37+,31+,0,,,,,,,
reb,37+,4,0,,,,,,,
reb,37+,5,0,,,,,,,
reb,37+,5-6,34,4.967858949562813,3.3823529411764706,2.246930205720026,-1.5855060083863424,2.65652453680681,0.23529411764705882,0.2647058823529412
